,date,series,value
0,1997.0,Goods,264637
1,1998.0,Goods,278202
2,1999.0,Goods,291682
3,2000.0,Goods,302782
4,2001.0,Goods,317427
5,2002.0,Goods,325896
6,2003.0,Goods,340238
7,2004.0,Goods,351679
8,2005.0,Goods,360258
9,2006.0,Goods,375783
10,2007.0,Goods,391065
11,2008.0,Goods,402514
12,2009.0,Goods,399490
13,2010.0,Goods,413243
14,2011.0,Goods,429133
15,2012.0,Goods,440752
16,2013.0,Goods,463222
17,2014.0,Goods,469501
18,2015.0,Goods,477161
19,2016.0,Goods,496830
20,2017.0,Goods,519879
21,2018.0,Goods,539831
22,2019.0,Goods,554218
23,2020.0,Goods,524149
24,2021.0,Goods,562310
25,2022.0,Goods,633450
26,2023.0,Goods,662592
27,1997.0,Services,344204
28,1998.0,Services,363167
29,1999.0,Services,379322
30,2000.0,Services,399293
31,2001.0,Services,410755
32,2002.0,Services,426025
33,2003.0,Services,445531
34,2004.0,Services,471607
35,2005.0,Services,501990
36,2006.0,Services,520243
37,2007.0,Services,547784
38,2008.0,Services,564319
39,2009.0,Services,546152
40,2010.0,Services,561569
41,2011.0,Services,583090
42,2012.0,Services,608171
43,2013.0,Services,638900
44,2014.0,Services,678846
45,2015.0,Services,699316
46,2016.0,Services,736661
47,2017.0,Services,758810
48,2018.0,Services,783871
49,2019.0,Services,802800
50,2020.0,Services,673810
51,2021.0,Services,757123
52,2022.0,Services,886487
53,2023.0,Services,959871
